Plot,Date,Count,Type
Plot #15 ,6/14/1991,0,H-(DELS)
Plot #15 ,6/15/1991,0,H-(DELS)
Plot #15 ,6/16/1991,0,H-(DELS)
Plot #15 ,6/17/1991,1,H-(DELS)
Plot #15 ,6/18/1991,0,H-(DELS)
Plot #15 ,6/19/1991,0,H-(DELS)
Plot #15 ,6/20/1991,1,H-(DELS)
Plot #15 ,6/21/1991,0,H-(DELS)
Plot #15 ,6/22/1991,0,H-(DELS)
Plot #15 ,6/23/1991,0,H-(DELS)
Plot #15 ,6/24/1991,0,H-(DELS)
Plot #15 ,6/25/1991,0,H-(DELS)
Plot #15 ,6/26/1991,2,H-(DELS)
Plot #15 ,6/27/1991,1,H-(DELS)
Plot #15 ,6/28/1991,0,H-(DELS)
Plot #15 ,6/29/1991,0,H-(DELS)
Plot #15 ,6/30/1991,1,H-(DELS)
Plot #15 ,7/1/1991,1,H-(DELS)
Plot #15 ,7/2/1991,0,H-(DELS)
Plot #15 ,7/3/1991,1,H-(DELS)
Plot #15 ,7/4/1991,0,H-(DELS)
Plot #15 ,7/5/1991,0,H-(DELS)
Plot #15 ,7/6/1991,0,H-(DELS)
Plot #15 ,7/7/1991,1,H-(DELS)
Plot #15 ,7/8/1991,2,H-(DELS)
Plot #15 ,7/9/1991,0,H-(DELS)
Plot #15 ,7/10/1991,0,H-(DELS)
Plot #15 ,7/11/1991,0,H-(DELS)
Plot #15 ,7/12/1991,0,H-(DELS)
Plot #15 ,7/13/1991,0,H-(DELS)
Plot #15 ,7/14/1991,0,H-(DELS)
Plot #15 ,7/15/1991,0,H-(DELS)
Plot #15 ,7/16/1991,0,H-(DELS)
Plot #15 ,7/17/1991,0,H-(DELS)
Plot #15 ,7/18/1991,0,H-(DELS)
Plot #15 ,7/19/1991,0,H-(DELS)
Plot #15 ,7/20/1991,1,H-(DELS)
Plot #15 ,7/21/1991,0,H-(DELS)
Plot #15 ,7/22/1991,1,H-(DELS)
Plot #15 ,7/23/1991,0,H-(DELS)
Plot #15 ,7/24/1991,0,H-(DELS)
Plot #15 ,7/25/1991,0,H-(DELS)
Plot #15 ,7/26/1991,0,H-(DELS)
Plot #15 ,7/27/1991,0,H-(DELS)
Plot #15 ,7/28/1991,0,H-(DELS)
Plot #15 ,7/29/1991,1,H-(DELS)
Plot #15 ,7/30/1991,0,H-(DELS)
Plot #15 ,7/31/1991,0,H-(DELS)
Plot #15 ,8/1/1991,0,H-(DELS)
Plot #15 ,8/2/1991,1,H-(DELS)
Plot #15 ,8/3/1991,0,H-(DELS)
Plot #15 ,8/4/1991,0,H-(DELS)
Plot #15 ,8/5/1991,1,H-(DELS)
Plot #15 ,8/6/1991,0,H-(DELS)
Plot #15 ,8/7/1991,0,H-(DELS)
Plot #15 ,8/8/1991,0,H-(DELS)
Plot #15 ,8/9/1991,0,H-(DELS)
Plot #15 ,8/10/1991,0,H-(DELS)
Plot #15 ,8/11/1991,0,H-(DELS)
Plot #15 ,8/12/1991,1,H-(DELS)
Plot #15 ,8/13/1991,0,H-(DELS)
